texture_1,area_1,area_2,radius_3,texture_3,perimeter_3,area_3,concavity_3
17.84,572.3,22.22,15.5,26.1,98.91,739.1,0.106
15.7,477.1,27.19,15.47,23.75,103.4,741.6,0.5355
15.76,245.2,16.94,9.414,17.07,63.34,270.0,0.1544
17.6,1076.0,71.56,22.82,21.32,150.6,1567.0,0.7345
13.16,568.9,17.4,15.34,16.35,99.71,706.2,0.1759
19.38,758.6,22.18,17.91,31.67,115.9,988.6,0.226
16.03,402.7,12.25,12.51,20.79,79.67,475.8,0.09823
16.54,641.2,32.14,16.67,21.51,111.4,862.1,0.3755
20.13,684.5,45.4,19.07,30.88,123.4,1138.0,0.2914
14.63,449.3,19.87,13.76,20.7,89.88,582.6,0.305
19.34,285.7,18.24,10.93,25.59,69.1,364.2,0.0935
17.2,371.5,18.15,12.36,26.87,90.14,476.4,0.4779
20.38,386.1,27.23,14.91,26.5,98.87,567.7,0.6869
16.32,476.3,18.49,13.57,21.4,86.67,552.0,0.1889
21.0,918.6,87.17,20.99,33.15,143.2,1362.0,0.392
13.47,641.2,48.29,16.77,16.9,110.4,873.2,0.1632
21.53,644.8,21.05,17.62,33.21,122.4,896.9,0.5539
21.6,427.9,28.47,12.98,25.72,82.98,516.5,0.05523
22.33,503.2,25.13,15.2,30.15,105.3,706.0,0.6282
18.42,523.8,14.16,13.3,22.81,84.46,545.9,0.04833
19.46,880.2,46.61,18.22,28.07,120.3,1032.0,0.1882
21.46,1306.0,83.5,24.22,26.17,161.7,1750.0,0.3158
28.06,538.4,17.85,14.37,37.17,92.48,629.6,0.1062
14.45,227.2,11.36,9.262,17.04,58.36,259.2,0.0
21.54,432.0,20.24,12.79,28.18,83.51,507.2,0.3218
13.37,504.1,25.18,14.19,16.4,92.04,618.8,0.1769
23.21,671.4,25.2,16.08,27.78,118.6,784.7,0.4589
18.17,485.6,18.4,14.38,22.15,95.29,633.7,0.3582
19.04,394.1,18.15,12.33,23.84,78.0,466.7,0.1444
20.76,441.0,21.91,13.24,27.29,92.2,546.1,0.2365
24.68,984.6,122.3,23.14,32.33,155.3,1660.0,0.489
19.1,687.3,24.87,16.25,26.19,109.1,809.8,0.1804
18.36,412.7,12.89,12.77,24.02,82.68,495.1,0.186
26.86,477.4,34.44,15.65,39.34,101.7,768.9,0.4425
15.34,300.2,49.85,11.02,19.49,71.04,380.5,0.8216
15.5,392.0,22.97,12.04,18.93,79.73,450.0,0.3021
23.86,1247.0,130.8,23.68,29.43,158.8,1696.0,0.4932
15.66,606.5,19.25,14.91,19.31,96.53,688.9,0.0626
23.09,334.2,20.56,10.93,24.22,70.1,362.7,0.04158
19.4,298.3,11.77,10.76,26.83,72.22,361.2,0.2644
19.04,409.7,20.3,13.07,26.98,86.43,520.5,0.256
16.52,470.9,19.68,14.11,23.21,89.71,611.1,0.1703
19.13,575.3,19.36,15.14,25.5,101.4,708.8,0.366
16.35,324.9,12.97,11.25,21.77,71.12,384.9,0.04384
20.01,982.0,54.04,20.58,27.83,129.2,1261.0,0.2249
14.09,462.0,19.96,13.13,19.29,87.65,529.9,0.3076
18.02,458.4,18.57,14.29,24.04,93.85,624.6,0.2413
19.54,509.2,26.5,14.45,24.38,95.14,626.9,0.07127
20.2,857.6,22.95,19.18,26.56,127.3,1084.0,0.2477
14.08,461.4,15.82,12.85,16.47,81.6,513.1,0.04116
23.29,840.4,45.5,19.38,31.03,129.3,1165.0,0.7087
18.29,838.1,33.58,18.13,25.45,117.2,1009.0,0.1663
28.14,449.9,44.96,13.6,33.33,87.24,567.6,0.05524
17.53,310.8,16.85,11.16,26.84,71.98,384.0,0.1055
21.72,633.0,24.91,15.89,30.36,116.2,799.6,0.5186
13.39,384.8,26.33,11.92,15.77,76.53,434.0,0.08669
17.08,928.2,33.63,19.85,25.09,130.9,1222.0,0.3378
21.24,1320.0,75.09,23.86,30.76,163.2,1760.0,0.5179
11.79,224.5,8.322,9.507,15.4,59.9,274.9,0.1168
20.76,480.4,20.48,13.33,25.47,89.0,527.4,0.2216
20.71,813.7,44.41,19.28,30.38,129.8,1121.0,0.3597
18.07,491.9,28.3,13.72,20.98,86.82,585.7,0.003581
22.13,947.8,90.94,20.39,27.24,137.9,1295.0,0.2298
16.85,990.0,35.77,20.38,22.02,133.3,1292.0,0.429
18.14,431.1,49.11,13.36,23.39,85.1,553.6,0.0612
20.78,519.4,34.78,14.16,24.11,90.82,616.7,0.08112
18.95,346.4,27.1,11.88,22.94,78.28,424.8,0.1916
18.18,408.8,27.85,13.36,25.4,88.14,528.1,0.3186
25.2,698.8,106.0,14.99,25.2,95.54,698.8,0.02398
21.17,433.8,19.53,13.05,27.21,85.09,522.9,0.1164
14.4,246.3,9.789,9.699,20.07,60.9,285.5,0.01472
22.49,1148.0,54.22,23.36,32.06,166.4,1688.0,0.3865
18.9,244.5,24.2,10.06,23.4,68.62,297.1,0.4609
16.58,432.0,24.72,13.74,26.38,91.93,591.7,0.4504
19.24,602.9,28.41,16.41,26.42,104.4,830.5,0.1673
18.77,689.5,39.43,16.25,25.47,107.1,809.7,0.25
28.21,562.1,14.91,14.69,35.63,97.11,680.6,0.07934
17.46,2010.0,153.1,33.13,23.58,229.3,3234.0,0.6451
10.89,640.7,24.19,15.7,15.98,102.8,745.5,0.256
21.6,1841.0,139.9,29.92,26.93,205.7,2642.0,0.4658
17.84,451.1,24.44,12.83,20.92,82.14,495.2,0.0498
15.92,512.2,16.64,14.48,21.82,97.17,643.8,0.209
39.28,920.6,49.0,22.51,44.87,141.2,1408.0,0.3241
18.82,1167.0,67.74,23.96,30.39,153.9,1740.0,0.5936
19.94,294.5,20.05,10.92,26.29,68.81,366.1,0.02049
15.21,457.9,19.01,13.75,21.38,91.11,583.1,0.1167
20.67,1299.0,100.4,23.23,27.15,152.0,1645.0,0.3092
17.46,432.7,13.88,13.06,25.75,84.35,517.8,0.1316
19.54,1250.0,52.49,22.03,25.07,146.0,1479.0,0.5308
20.2,1761.0,233.0,26.02,23.99,180.9,2073.0,0.5803
14.92,402.0,22.77,12.37,17.7,79.12,467.2,0.1648
26.67,1685.0,83.16,25.12,32.68,177.0,1986.0,0.7892
21.51,1264.0,69.06,25.3,31.86,171.1,1938.0,0.5344
17.43,541.6,13.56,13.94,27.82,88.28,602.0,0.2298
16.07,788.5,14.91,16.97,19.14,113.1,861.5,0.2114
21.78,1293.0,72.44,24.31,26.37,161.2,1780.0,0.2702
21.97,1110.0,103.9,22.66,30.93,145.3,1603.0,0.3912
17.25,1546.0,224.1,30.75,26.44,199.5,3143.0,0.2861
16.41,476.7,30.19,13.78,21.03,97.82,580.6,0.4896
14.96,426.7,26.65,12.81,17.72,83.09,496.2,0.03122
17.21,588.7,17.91,15.49,23.58,100.3,725.9,0.08115
13.21,711.8,17.72,16.2,15.73,104.5,819.1,0.1362
20.25,761.3,32.19,19.56,30.29,125.9,1088.0,0.3976
14.96,373.9,10.8,11.92,19.9,79.76,440.0,0.2299
18.7,1033.0,98.81,20.6,24.13,135.1,1321.0,0.2623
32.47,1223.0,109.9,27.9,45.41,180.2,2477.0,0.3995
25.12,1192.0,63.33,22.63,33.58,148.7,1589.0,0.5673
19.07,701.9,38.49,17.58,28.06,113.8,967.0,0.2866
14.07,384.6,28.84,12.12,15.82,79.62,453.5,0.1201
16.17,507.6,11.36,13.86,23.02,89.69,580.9,0.181
20.13,542.9,23.81,15.44,25.5,115.0,733.5,0.6556
18.59,512.0,21.57,14.19,24.85,94.22,591.2,0.2573
19.6,592.6,29.63,15.63,28.01,100.9,749.1,0.04753
21.57,546.1,20.98,14.2,29.2,92.94,621.2,0.1212
13.78,492.1,13.38,13.5,17.48,88.54,553.7,0.05233
28.23,442.5,13.86,13.09,37.88,85.07,523.7,0.1811
25.0,1191.0,56.18,21.44,30.96,139.8,1421.0,0.3977
17.35,1335.0,77.02,25.37,23.17,166.8,1946.0,0.4159
19.65,629.9,29.25,15.3,23.73,107.0,709.0,0.6783
13.06,508.8,21.79,13.63,16.15,86.7,570.7,0.02758
27.15,930.9,115.2,22.96,34.49,152.1,1648.0,0.2639
21.7,271.2,25.17,10.85,31.24,68.73,359.4,0.06141
18.59,370.0,25.78,12.4,25.58,82.76,472.4,0.1412
18.6,221.2,17.81,8.952,22.44,56.65,240.1,0.0
20.7,203.9,10.21,9.092,29.72,58.08,249.8,0.5381
18.32,340.9,13.12,10.94,23.31,69.35,366.3,0.03986
27.81,1319.0,70.01,24.47,37.38,162.7,1872.0,0.4146
15.82,537.3,15.5,14.41,20.45,92.0,636.9,0.0112
17.48,462.9,19.2,14.18,23.13,95.23,600.5,0.3206
22.04,1686.0,97.85,28.01,28.22,184.2,2403.0,0.3948
18.87,1027.0,48.9,21.84,25.0,140.9,1485.0,0.3853
16.67,423.6,34.37,13.33,25.48,86.16,546.7,0.1046
21.84,1024.0,76.36,19.76,24.7,129.1,1228.0,0.2535
15.98,611.2,32.74,15.66,21.58,101.2,750.0,0.1117
23.2,773.5,138.5,19.85,31.64,143.7,1226.0,0.6181
33.81,386.8,15.46,12.36,41.78,78.44,470.9,0.02318
21.53,438.6,24.79,13.67,26.15,87.54,583.0,0.1503
10.82,403.3,10.5,12.82,15.97,83.74,510.5,0.2102
17.67,501.3,23.24,13.82,20.96,88.87,586.8,0.03469
20.22,338.3,7.228,10.85,22.82,76.51,351.9,0.603
17.02,546.4,24.68,15.14,23.6,98.84,708.8,0.1786
20.56,1007.0,89.74,21.53,26.06,143.4,1426.0,0.2544
21.68,268.8,6.802,9.965,27.99,66.61,301.0,0.1868
14.74,668.7,29.06,17.27,17.93,114.2,880.8,0.2151
18.91,1138.0,81.23,22.32,25.73,148.2,1538.0,0.3207
23.93,403.5,16.97,12.48,37.16,82.28,474.2,0.363
18.4,489.0,22.45,13.5,23.08,85.56,564.1,0.005579
15.68,293.2,15.24,11.24,22.99,74.32,376.5,0.08434
13.14,272.5,17.67,10.6,18.04,69.47,328.1,0.2913
18.54,466.7,9.227,13.29,27.49,85.56,544.1,0.1937
29.29,415.1,23.13,13.12,38.81,86.04,527.8,0.2923
21.02,994.0,41.51,20.8,27.78,149.6,1304.0,0.9034
13.93,761.7,27.94,17.5,19.25,114.3,922.8,0.1709
17.66,674.8,19.75,16.43,22.74,105.9,829.5,0.206
21.81,531.5,14.49,16.23,29.89,105.5,740.7,0.3728
16.95,685.9,24.28,16.11,23.0,104.6,793.7,0.06648
23.94,668.3,35.24,17.31,33.39,114.6,925.1,0.3024
18.77,805.1,28.09,18.55,25.09,126.9,1031.0,0.5026
18.52,1075.0,80.6,22.93,27.68,152.2,1603.0,0.3157
18.19,389.4,16.39,12.58,27.96,87.16,472.9,0.7436
18.58,1041.0,28.92,21.31,26.36,139.2,1410.0,0.3538
14.93,686.9,23.31,17.18,18.22,112.0,906.6,0.3151
12.96,366.8,18.54,12.36,18.2,78.07,470.0,0.01854
24.8,1123.0,116.2,20.96,29.94,151.7,1332.0,0.3639
21.59,869.5,45.19,20.01,29.02,133.5,1229.0,0.5409
25.27,732.4,43.5,20.27,36.71,149.3,1269.0,0.6335
12.39,464.1,17.43,13.5,15.64,86.97,549.1,0.1242
17.31,398.0,21.38,12.78,26.76,82.66,503.0,0.07708
16.17,420.5,27.57,13.32,21.59,86.57,549.8,0.149
21.41,380.3,18.99,12.36,28.92,79.26,458.0,0.03582
19.34,659.7,23.04,16.3,28.39,108.1,830.5,0.3779
13.9,561.3,21.03,14.98,17.13,101.1,686.6,0.2577
18.61,391.2,18.19,12.47,23.03,79.15,478.6,0.1624
23.03,1264.0,87.87,24.22,31.59,156.1,1750.0,0.4098
16.34,571.8,14.55,14.67,23.19,96.08,656.7,0.105
15.6,575.3,27.19,14.85,19.05,94.11,683.4,0.1533
22.68,657.1,19.54,15.48,27.27,105.9,733.5,0.3662
19.22,758.6,51.22,17.36,24.17,119.4,915.3,0.6872
18.1,286.3,20.98,11.15,24.62,71.11,380.2,0.06409
22.22,526.4,14.34,14.0,29.02,88.18,608.8,0.007977
19.51,815.8,33.12,17.39,23.05,122.1,939.7,0.5897
21.35,371.1,16.97,12.84,35.34,87.22,514.0,0.4023
13.1,221.3,7.254,9.473,18.45,63.3,275.6,0.1754
23.95,731.3,32.52,17.11,36.33,117.7,909.4,0.5911
17.27,295.4,12.33,10.42,23.22,67.08,331.6,0.06213
19.97,744.7,66.91,21.2,29.41,142.1,1359.0,0.5553
18.18,1145.0,53.16,23.79,28.65,152.4,1628.0,0.4316
15.49,241.0,30.18,9.981,17.7,65.27,302.0,0.09441
17.46,508.3,30.57,13.74,21.06,90.72,591.0,0.1901
19.33,1169.0,71.0,25.7,24.57,163.1,1972.0,0.4317
20.04,453.1,12.58,13.16,24.17,85.13,515.3,0.3535
14.34,1297.0,94.44,22.54,16.67,152.2,1575.0,0.4
28.77,1207.0,106.4,25.05,36.27,178.6,1926.0,0.4251
17.62,365.6,10.09,11.62,26.51,76.43,407.5,0.2123
22.53,685.0,24.19,16.35,27.57,125.4,832.7,0.9019
24.98,582.7,43.14,16.99,35.27,108.6,906.5,0.3169
15.46,329.6,11.86,11.52,19.8,73.47,395.4,0.02639
18.22,493.1,34.37,15.05,24.37,99.31,674.7,0.1246
25.56,948.0,58.53,18.07,28.07,120.4,1021.0,0.2803
18.32,278.6,30.48,12.02,25.02,75.79,439.6,0.1144
19.63,565.4,43.4,17.98,29.87,116.6,993.6,0.2644
12.84,412.6,15.75,13.06,17.16,82.96,512.5,0.1922
16.02,513.7,17.67,13.74,19.93,88.81,585.4,0.2241
16.93,578.9,22.69,15.75,26.93,104.4,750.1,0.4636
20.98,221.8,18.39,9.565,27.04,62.06,273.9,0.09001
14.86,800.0,21.83,17.71,19.58,115.9,947.9,0.231
18.66,534.6,24.25,15.67,27.95,102.8,759.4,0.5006
23.98,899.3,67.78,20.88,32.09,136.1,1344.0,0.5588
21.08,803.1,176.5,23.17,27.65,157.1,1748.0,0.4211
21.84,561.0,26.76,14.8,30.04,97.66,661.5,0.1453
17.93,446.0,16.97,13.07,22.25,82.74,523.4,0.007732
19.56,461.0,27.24,14.44,28.36,92.15,638.4,0.1377
21.91,1075.0,68.35,22.52,31.39,145.6,1590.0,0.3965
20.25,1094.0,93.54,21.31,27.26,139.9,1403.0,0.3446
14.59,404.9,14.34,12.4,21.9,82.04,467.6,0.2596
19.08,895.0,31.98,19.59,24.89,133.5,1189.0,0.5018
27.06,1288.0,52.34,24.33,39.16,162.3,1844.0,0.3788
15.15,580.6,11.35,14.54,19.64,97.96,657.0,0.2569
19.96,394.1,34.68,11.86,22.33,78.27,437.6,0.1546
12.17,495.0,17.37,13.65,16.92,88.12,566.9,0.09385
18.15,1214.0,97.07,26.73,26.39,174.9,2232.0,0.681
16.84,234.3,28.85,10.17,22.8,64.01,317.0,0.0
20.58,1052.0,67.36,21.86,26.2,142.2,1493.0,0.3759
17.57,678.1,101.9,18.55,21.43,121.4,971.4,0.3355
22.15,645.7,60.78,17.67,29.51,119.1,959.5,0.6922
22.47,506.3,19.87,14.49,33.37,92.04,653.6,0.2177
16.39,674.5,39.84,16.11,18.33,105.9,762.6,0.196
29.43,507.9,18.76,13.87,36.0,88.1,594.7,0.08653
21.82,519.8,24.32,15.49,30.73,106.2,739.3,0.539
12.88,616.5,23.92,15.53,18.0,98.4,749.9,0.05307
15.45,420.3,24.53,13.06,18.16,84.16,516.4,0.1087
23.84,499.0,36.46,17.09,33.47,111.8,888.3,0.4024
18.9,1217.0,133.0,25.93,26.24,171.1,2053.0,0.6121
22.61,578.3,19.21,15.03,32.01,108.8,697.7,0.6943
20.74,963.7,93.91,20.47,25.11,132.9,1302.0,0.3583
21.58,563.0,20.53,15.93,30.25,102.5,787.9,0.2085
18.83,361.6,13.99,13.24,32.82,91.76,508.1,0.8402
17.19,420.3,17.86,13.01,21.39,84.42,521.5,0.1521
12.83,477.3,24.6,13.19,16.36,83.24,534.0,0.01674
18.35,432.2,21.46,13.25,27.1,86.2,531.2,0.2806
17.92,466.1,25.79,14.1,28.88,89.0,610.2,0.1377
15.18,587.4,19.41,14.98,21.74,98.37,670.0,0.1456
18.24,437.6,17.47,13.1,21.33,83.67,527.2,0.09203
19.83,388.1,9.332,11.93,26.43,76.38,435.9,0.02533
21.43,1092.0,88.25,24.54,34.37,161.1,1873.0,0.4634
26.97,1670.0,155.8,31.01,34.51,206.0,2944.0,0.582
20.26,904.3,68.46,19.8,25.05,130.0,1210.0,0.1932
18.47,2499.0,525.6,28.11,18.47,188.5,2499.0,0.3201
13.27,582.7,17.74,14.67,16.93,94.17,661.1,0.03732
24.44,406.4,20.95,12.98,32.19,86.12,487.7,0.1395
18.45,407.4,26.99,12.97,22.46,83.12,508.9,0.08105
27.15,600.4,29.84,15.3,33.17,100.2,706.7,0.1326
26.27,2501.0,542.2,36.04,31.37,251.2,4254.0,0.6833
30.72,557.2,28.93,15.05,41.61,96.69,705.6,0.07003
28.08,858.1,48.55,18.98,34.12,126.7,1124.0,0.3403
18.61,334.3,10.08,11.06,24.54,70.76,375.4,0.08423
17.07,421.0,26.03,13.28,19.74,83.61,542.5,0.03046
20.39,344.9,20.74,11.69,25.21,76.51,410.4,0.2534
17.64,571.1,20.64,14.96,23.53,95.78,686.5,0.1742
24.89,441.3,19.39,12.98,30.36,84.48,513.9,0.1609
19.32,951.6,40.73,20.42,25.84,139.5,1239.0,0.3508
15.94,1157.0,119.3,22.03,17.81,146.6,1495.0,0.2264
20.28,545.2,31.33,17.38,28.0,113.1,907.2,0.3664
17.48,321.2,22.79,11.48,24.47,75.4,403.7,0.1925
10.91,442.7,18.95,13.8,20.14,87.64,589.5,0.1514
23.12,609.9,31.72,15.74,37.18,106.4,762.4,0.8488
20.53,618.4,31.01,16.45,27.26,112.1,828.5,0.2512
13.84,530.6,33.01,14.73,17.4,93.96,672.4,0.01824
33.56,744.9,23.02,18.49,49.54,126.3,1035.0,0.5703
15.56,530.2,34.66,16.31,22.4,106.4,827.2,0.6376
23.21,1174.0,70.1,20.82,30.44,142.0,1313.0,0.3829
17.77,1326.0,74.08,24.99,23.41,158.8,1956.0,0.2416
13.44,445.2,18.54,13.45,15.77,86.92,549.9,0.1622
20.97,401.5,24.62,13.11,32.16,84.53,525.1,0.1755
16.68,716.6,26.44,17.77,20.24,117.7,989.5,0.3327
17.88,807.2,35.03,20.21,27.26,132.7,1261.0,0.5274
15.7,819.8,20.67,17.32,17.76,109.8,928.2,0.1947
21.98,359.9,20.2,12.76,32.04,83.69,489.5,0.1927
17.15,492.9,13.32,14.34,22.15,91.62,633.5,0.1887
26.83,1234.0,103.6,24.19,33.81,160.0,1671.0,0.3703
22.76,728.2,29.44,16.43,25.84,107.5,830.9,0.2846
24.27,1747.0,164.1,30.67,30.73,202.4,2906.0,0.4819
14.71,321.6,19.33,10.88,19.48,70.89,357.1,0.07162
15.04,476.5,9.006,13.2,20.37,83.85,543.4,0.06243
23.95,782.7,36.58,16.84,27.66,112.0,876.5,0.2322
16.85,481.6,12.69,13.34,19.71,84.48,544.2,0.01938
16.16,596.6,23.12,15.51,19.97,99.66,745.3,0.1091
15.67,289.9,16.39,10.75,20.88,68.09,355.2,0.04043
9.71,357.6,11.48,11.6,12.02,73.66,414.0,0.1047
25.09,1347.0,118.8,24.29,29.41,179.1,1819.0,0.6599
11.28,747.2,13.87,17.01,14.2,112.5,854.3,0.4004
28.92,514.3,16.83,13.89,35.74,88.84,595.7,0.2439
12.87,248.7,20.04,10.28,16.38,69.05,300.2,0.2099
23.77,590.0,39.93,15.01,26.34,98.0,706.0,0.1359
15.9,463.7,18.32,13.35,19.59,86.65,546.7,0.1423
15.73,506.9,11.64,14.09,19.35,93.22,605.8,0.3476
14.69,426.0,13.04,12.45,17.6,81.25,473.8,0.269
19.31,527.2,32.96,14.23,22.25,90.24,624.1,0.001845
15.62,358.9,9.597,11.94,19.35,80.78,433.1,0.3365
19.82,1206.0,92.81,25.28,25.59,159.8,1933.0,0.8489
12.44,273.9,15.7,10.23,15.66,65.13,314.9,0.08867
10.72,409.1,9.438,12.34,12.87,81.23,467.8,0.08324
28.2,290.9,11.28,10.67,36.92,68.03,349.9,0.0719
20.18,419.8,38.34,13.32,26.21,88.91,543.9,0.1956
14.16,396.6,17.09,12.2,18.99,77.37,458.0,0.004955
21.41,507.4,53.65,13.75,23.5,89.04,579.5,0.05186
23.29,664.7,33.01,15.79,31.71,102.2,758.2,0.2675
22.11,693.7,28.51,16.76,31.55,110.2,867.1,0.3114
13.23,992.1,50.95,19.82,18.42,127.1,1210.0,0.1048
21.68,1194.0,67.66,22.75,34.66,157.6,1540.0,0.4734
12.71,566.2,20.39,14.97,16.94,95.48,698.7,0.01379
13.29,455.8,15.24,13.34,17.81,91.38,545.2,0.09915
19.77,642.5,26.85,16.33,30.86,109.5,826.4,0.3194
15.1,1386.0,39.06,22.69,21.84,152.1,1535.0,0.4024
24.59,1076.0,57.65,24.56,30.41,152.9,1623.0,0.5755
25.13,520.2,21.19,14.34,31.88,91.06,628.5,0.04462
15.51,793.2,33.27,18.76,21.98,124.3,1070.0,0.4956
23.81,610.7,31.0,16.86,34.85,115.0,811.3,0.3744
20.74,536.9,27.4,14.8,25.46,100.9,689.1,0.4504
17.12,1077.0,90.47,22.25,24.9,145.4,1549.0,0.3272
15.71,520.0,14.67,14.5,20.49,96.09,630.5,0.189
14.64,244.0,25.44,9.733,15.67,62.56,284.4,0.1434
18.33,412.5,20.62,13.14,29.26,85.51,521.7,0.2873
16.82,632.6,10.77,14.91,20.65,94.44,684.6,0.03866
19.62,599.5,18.85,17.04,30.8,113.9,869.3,0.4069
20.52,458.7,14.68,13.34,32.84,84.58,547.8,0.1145
